,,,,,,,,,,,,,
,BUTTWELD FITTINGS  —  20 PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1.  SS 304L / 316L 90° & 45° Buttweld Pipe Elbows,,,,,,,,,,,,
,Product ID,bw-ss-elbow,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASME B16.9  |  Seamless & Welded  |  Sch 10S to Sch 160,,,,,,,,,,,
,Image File,/images/products/bw-ss-elbow.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹320 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (SS 304/304L/304H Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-304-304l-304h-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=bw-ss-elbow,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  304/304L/304H Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-310-310s-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=stainless-steel-310-310s-buttweld-fittings,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  309/310/310S Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,SS 309,S30900,1.4833,-,-,-,-,-,,,,,
,SS 310,S31000,1.4841,-,X2CrNi18-9 / X2CrNi19-11,SUS 310,310S24,20Ch25N20S2,,,,,
,SS 310S,S31008,1.4845,-,X8CrNi25-21,SUS 310S,310S16,20Ch23N18,,,,,
,,,,,,,,,,,,,
,TAB 2 — CHEMICAL COMPOSITION:  Chemical Composition of SS 309/310/310S Seamless and Welded Pipe Fittings,,,,,,,,,,,,
,Element,SS 309,SS 310,SS 310S,,,,,,,,,
,Ni,14 max,19 to 22,19 to 22,,,,,,,,,
,Cr,23 max,24 to 26,24 to 26,,,,,,,,,
,C,0.20 max,0.25 max,0.08 max,,,,,,,,,
,Fe,60 max,Balance,,,,,,,,,,
,Mn,2 max,2 max,2 max,,,,,,,,,
,Si,1 max,1.50 max,1.50 max,,,,,,,,,
,S,0.030 max,0.03 max,0.03 max,,,,,,,,,
,P,0.045 max,0.045 max,0.045 max,,,,,,,,,
,,,,,,,,,,,,,
,TAB 3 — MECHANICAL PROPERTIES:  Mechanical Properties Of ASME SA403 SS WP309 / 310/ 310S Buttweld Pipe Fittings,,,,,,,,,,,,
,Element,SS 309,SS 310,SS 310S,,,,,,,,,
,Tensile Strength,"Psi to 89900 , MPa to 620","Psi to 75000 , MPa to 515","Psi to 75000 , MPa to 515",,,,,,,,,
,Yield Strength (0.2%Offset),"Psi to 45000 , MPa to 310","Psi to 30000 , MPa to 205","Psi to 30000 , MPa to 205",,,,,,,,,
,Elongation,45 %,35 %,35 %,,,,,,,,,
,,,,,,,,,,,,,
,TAB 4 — PHYSICAL PROPERTIES:  Physical Properties of ASTM A403 Stainless Steel 309/310/310S Pipe Fittings,,,,,,,,,,,,
,,SS 309,SS 310,SS 310,,,,,,,,,
,Density,8.0 g/cm3,8.0 g/cm3,8.0 g/cm3,,,,,,,,,
,Melting Point,1455 °C (2650 °F),1454 °C (2650 °F),1454 °C (2650 °F),,,,,,,,,
,,,,,,,,,,,,,
,TAB 5 — CERTIFIED APPLICATION INDUSTRIES,,,,,,,,,,,,
,1.  Petrochemical Industry,,,,,,,,,,,,
,2.  Oil and Gas Industry,,,,,,,,,,,,
,3.  Chemical Industry,,,,,,,,,,,,
,4.  Power Plant Industry,,,,,,,,,,,,
,5.  Energy Industry,,,,,,,,,,,,
,6.  Pharmaceuticals Industry,,,,,,,,,,,,
,7.  Pulp & Paper Industry,,,,,,,,,,,,
,8.  Food Processing Industry,,,,,,,,,,,,
,9.  Aerospace Industry,,,,,,,,,,,,
,10.  Refining Industry,,,,,,,,,,,,
,,,,,,,,,,,,,
,MANUFACTURING STANDARDS & SPECIFICATION:  Specification of SS 309/310/310S Buttweld Fittings,,,,,,,,,,,,
,Specifications,ASTM A403 / ASME SA403,,,,,,,,,,,
,Dimensions,"ASME/ANSI B16.9, ASME B16.28, MSS-SP-43, BS4504, BS4504, BS1560, BS10 ASME 16.11, MSS SP-79, 83, 95, 97, BS 3799",,,,,,,,,,,
,Size,"Seamless Butt Weld Fittings : 1/2"" - 10"" | Welded Butt Weld Fittings : 1/2"" - 48""",,,,,,,,,,,
